Feature,Current value,Reference value,Original probability,Probability with reference,Contribution,Contribution percentage points,Absolute contribution,Direction,Color
Air temperature [K],298.5,300.1,0.003638926025097612,0.003698727268386677,-5.980124328906506e-05,-0.005980124328906506,5.980124328906506e-05,Little local effect,#6C757D
Torque [Nm],33.66,40.1,0.003638926025097612,0.0036870948880481937,-4.816886295058156e-05,-0.004816886295058156,4.816886295058156e-05,Little local effect,#6C757D
Process temperature [K],309.1,310.1,0.003638926025097612,0.003662838796139601,-2.3912771041989002e-05,-0.0023912771041989,2.3912771041989002e-05,Little local effect,#6C757D
Tool wear [min],8.0,108.0,0.003638926025097612,0.0036413224497372303,-2.3964246396181686e-06,-0.00023964246396181686,2.3964246396181686e-06,Little local effect,#6C757D
Type,M,L,0.003638926025097612,0.003638926025097612,0.0,0.0,0.0,Little local effect,#6C757D
Rotational speed [rpm],1705,1503.0,0.003638926025097612,0.003638926025097612,0.0,0.0,0.0,Little local effect,#6C757D
