Feature,Current value,Reference value,Original probability,Probability with reference,Contribution,Contribution percentage points,Absolute contribution,Direction,Color
Torque [Nm],68.46,40.1,0.9860168483539816,0.0048443510751978135,0.9811724972787839,98.11724972787839,0.9811724972787839,Increases failure risk,#DC3545
Rotational speed [rpm],1259,1503.0,0.9860168483539816,0.9587587422941384,0.027258106059843246,2.7258106059843246,0.027258106059843246,Increases failure risk,#DC3545
Tool wear [min],27.0,108.0,0.9860168483539816,0.9820794414896785,0.003937406864303106,0.39374068643031057,0.003937406864303106,Increases failure risk,#DC3545
Air temperature [K],299.45,300.1,0.9860168483539816,0.9821396411531975,0.003877207200784105,0.3877207200784105,0.003877207200784105,Increases failure risk,#DC3545
Process temperature [K],309.1,310.1,0.9860168483539816,0.985511188179568,0.0005056601744136691,0.050566017441366906,0.0005056601744136691,Increases failure risk,#DC3545
Type,L,L,0.9860168483539816,0.9860168483539816,0.0,0.0,0.0,Little local effect,#6C757D
